,Ticker,Company,Sector,Industry,P/E,EPS (ttm),Insider Own %,Perf Week %,Market Cap,Forward P/E,EPS next Y %,Insider Trans %,Perf Month %,PEG,EPS next Q,Inst Own %,Short Float %,Perf Quarter %,P/S,EPS this Y %,Inst Trans %,Short Ratio,Perf Half Y %,Book/sh,P/B,ROA %,Target Price,Perf Year %,Cash/sh,P/C,EPS next 5Y %,ROE %,Perf YTD %,Dividend,P/FCF,EPS past 5Y %,ROI %,52W High %,Beta,Dividend % %,Quick Ratio,Sales past 5Y %,Gross Margin %,52W Low %,ATR,Current Ratio,Sales Q/Q %,Oper. Margin %,RSI (14),Volatility %,Debt/Eq,EPS Q/Q %,Profit Margin %,Rel Volume,LT Debt/Eq,Earnings,Avg Volume,Price,Volume,Market Cap 2,Death MACD,Golden MACD,50-MA,200-MA,50 %,200 %,MOM-25,EMOM-25,ETF,Tick
10,ADP,"Automatic Data Processing, Inc.",Industrials,Staffing & Employment Services,30.99,5.75,0.1,2.44,76950000000.0,27.37,9.78,-40.99,6.85,3.02,1.81,81.6,0.98,3.89,5.27,8.5,-1.02,2.34,25.11,13.8,12.92,5.7,180.89,10.95,0.0,0.0,10.26,43.3,1.17,3.72,56.4,14.5,30.8,-0.67,0.74,2.09,1.1,5.9,42.1,72.88,4.51,1.1,0.7,21.5,61.3,2.82% 2.39,0.34,0.4,17.0,1.35,0.34,NAN,1.79M,178.26,"2,411,977",76.95B,2020-11-20,2021-01-28,169.3818002319336,154.00730224609376,5.24153111840205,15.74775832067494,101.412,102.12,"QQQ,XSW",ADP
11,ADPT,Adaptive Biotechnologies Corporation,Healthcare,Biotechnology,0.0,-1.11,1.3,-25.35,5750000000.0,0.0,0.7,-82.84,-29.17,0.0,-0.37,83.1,2.35,-11.45,58.42,-100.6,2.46,3.33,1.05,5.43,7.78,-14.8,66.4,53.45,5.06,8.35,2.2,-22.5,-28.58,0.0,0.0,0.0,-20.6,-40.73,0.0,0.0,6.8,0.0,77.1,178.01,4.24,6.9,24.8,0.0,26.54,10.19% 6.83,0.0,-97.7,0.0,2.33,0.0,NAN,907.60K,42.23,"2,113,235",5.75B,2021-02-22,2021-02-11,59.9621999359131,48.93552505493164,-29.572297138639126,-13.702775330201284,94.213,100.588,ARKG,ADPT
12,ADS,Alliance Data Systems Corporation,Financial,Credit Services,16.87,6.15,0.8,7.51,4900000000.0,7.71,16.17,0.61,38.02,0.0,3.21,91.3,5.3,31.1,1.08,-37.0,10.6,2.37,125.2,27.73,3.74,0.2,89.13,39.81,65.21,1.59,-5.89,4.4,40.01,0.84,4.81,5.9,4.7,0.93,2.59,0.81,1.7,1.0,53.2,405.85,5.31,1.7,-26.9,21.1,69.2,6.73% 5.66,13.08,12.7,1.2,1.0,6.31,NAN,1.05M,103.75,"1,047,793",4.90B,2021-01-11,2021-02-04,79.51718780517578,58.79014862060547,30.474936128522017,76.4751449592976,120.781,118.829,XSW,ADS
13,ADSK,"Autodesk, Inc.",Technology,Software - Application,49.22,5.43,0.1,-3.12,60510000000.0,37.28,38.82,-1.39,-8.69,1.38,1.11,92.6,0.89,-3.49,15.96,327.8,-0.92,1.4,2.31,0.32,835.59,6.2,315.1,45.29,7.14,37.45,35.58,0.0,-12.43,0.0,45.75,23.4,14.0,-16.73,1.37,0.0,0.8,5.4,91.1,113.26,11.13,0.8,13.0,13.7,36.07,3.88% 3.48,23.62,97.8,9.6,1.32,23.62,NAN,1.39M,267.39,"1,835,496",60.51B,2021-02-23,2021-02-08,297.6909991455078,256.79359962463377,-10.178674945659697,4.1264269790428685,96.263,100.694,"ARKQ,QQQ,XSW",ADSK
14,AGYS,"Agilysys, Inc.",Technology,Software - Application,0.0,-1.12,2.1,-9.13,1270000000.0,68.98,0.26,-3.86,26.93,0.0,0.18,0.0,3.08,45.88,9.01,-161.1,-1.38,3.51,110.78,3.49,15.52,-14.9,48.33,92.7,3.96,13.67,0.05,-34.2,41.09,0.0,66.99,-23.3,-47.7,-15.51,1.54,0.0,2.2,9.2,60.9,329.42,3.84,2.3,-12.6,-16.4,51.3,9.17% 6.54,0.0,2.8,-18.4,1.79,0.0,NAN,191.85K,54.15,"344,179",1.27B,2021-03-04,2021-02-08,47.1881999206543,31.07005002975464,14.753264780287829,74.28359448453588,128.933,125.105,XSW,AGYS
15,AKAM,"Akamai Technologies, Inc.",Technology,Software - Infrastructure,28.81,3.37,0.3,2.78,15980000000.0,16.49,9.0,-6.24,-12.97,2.76,1.3,93.8,4.86,-6.12,5.0,63.0,0.54,3.72,-18.77,25.24,3.85,7.6,125.31,4.46,8.78,11.07,10.44,14.1,-7.49,0.0,18.5,9.5,9.0,-22.24,0.39,0.0,3.1,8.1,64.6,29.2,3.77,3.1,11.7,19.4,41.92,3.36% 3.24,0.0,13.7,16.9,1.74,0.46,NAN,2.08M,97.13,"3,620,272",15.98B,2021-02-10,2021-01-19,105.06559936523438,106.3706999206543,-7.552994903353902,-8.687260615514681,96.431,97.112,QQQJ,AKAM
16,ALGN,"Align Technology, Inc.",Healthcare,Medical Devices,23.89,22.45,0.3,-5.4,41480000000.0,47.0,25.15,-51.41,-1.78,0.84,1.98,87.7,1.77,6.13,16.78,12.4,-1.6,2.34,65.35,38.48,13.94,45.7,610.0,132.55,7.96,67.39,28.41,67.5,0.39,0.0,111.26,25.5,32.0,-15.45,1.71,0.0,1.2,25.9,71.3,319.5,25.18,1.3,20.9,11.1,41.77,5.09% 3.89,0.0,37.1,68.8,1.72,0.0,NAN,548.07K,536.46,"944,927",41.48B,2021-02-22,2021-02-04,558.7334033203125,400.42770080566413,-3.986409831227416,33.97175043600573,106.486,108.321,QQQ,ALGN
17,ALNY,"Alnylam Pharmaceuticals, Inc.",Healthcare,Biotechnology,0.0,-7.45,0.3,-3.18,16610000000.0,0.0,48.4,-35.0,-5.2,0.0,-1.79,93.6,3.04,10.75,33.69,8.0,-0.39,5.02,9.74,8.74,16.41,-27.8,174.09,22.65,16.19,8.86,46.09,-68.9,10.33,0.0,0.0,-16.7,-68.8,-19.63,1.28,0.0,4.3,64.4,84.2,68.75,8.26,4.5,128.2,0.0,43.22,5.04% 5.33,0.19,15.2,0.0,0.7,0.19,NAN,702.17K,143.39,"490,129",16.61B,2021-01-28,2021-01-08,152.10620025634762,141.65390003204342,-5.730338567170863,1.2255927775824318,103.608,104.052,QQQJ,ALNY
18,ALRM,"Alarm.com Holdings, Inc.",Technology,Software - Application,58.62,1.48,1.2,-1.41,4300000000.0,46.13,15.71,-32.69,-10.22,2.93,0.37,96.8,6.13,16.66,7.25,43.5,0.5,6.15,36.98,9.49,9.13,11.5,83.2,88.1,5.11,16.95,20.0,18.7,-16.25,0.0,49.96,63.4,9.3,-20.27,1.19,0.0,3.9,24.2,62.8,170.75,4.58,4.4,17.9,9.5,38.59,5.60% 4.76,0.24,19.1,13.1,0.82,0.24,NAN,443.39K,86.64,"361,400",4.30B,2021-02-17,2021-02-09,98.10440017700195,72.25892503738403,-11.685918426000919,19.902143514002933,94.981,105.307,XSW,ALRM
19,ALTR,Altair Engineering Inc.,Technology,Software - Infrastructure,0.0,-0.2,0.6,-5.11,4030000000.0,143.24,84.62,-82.17,-4.48,0.0,0.13,96.6,11.07,12.32,8.75,-150.8,2.71,15.85,34.93,4.91,11.9,-2.9,55.33,86.71,3.56,16.42,0.0,-6.0,0.45,0.0,147.1,0.0,-0.5,-14.79,0.0,0.0,0.0,0.0,72.7,153.65,2.94,2.4,6.1,0.3,42.95,4.58% 4.74,0.6,47.8,-4.7,1.85,0.6,NAN,296.05K,58.44,"546,865",4.03B,2021-02-18,2021-02-04,60.82529991149902,47.74219997406006,-3.921558816758229,22.407429971288327,104.651,106.84,XSW,ALTR
20,ALXN,"Alexion Pharmaceuticals, Inc.",Healthcare,Biotechnology,55.72,2.69,0.3,-1.73,33190000000.0,10.35,10.97,-3.71,-3.0,6.35,3.19,91.3,3.61,22.28,5.47,-74.6,-1.92,2.42,31.87,53.15,2.82,3.4,172.65,59.38,13.56,11.07,8.78,5.4,-3.93,0.0,11.46,32.4,4.3,-7.69,1.24,0.0,3.1,18.4,90.9,106.55,2.38,3.6,15.0,10.4,41.16,1.68% 1.30,0.22,-39.5,9.9,0.94,0.21,NAN,3.26M,150.1,"3,055,569",33.19B,2021-01-05,2020-12-14,155.3770004272461,125.42109996795654,-3.3962558246945966,19.676832716623117,98.271,104.212,QQQ,ALXN
21,AMAT,"Applied Materials, Inc.",Technology,Semiconductor Equipment & Materials,27.13,4.18,0.5,-4.01,100030000000.0,17.69,7.26,-0.02,13.6,1.37,1.51,82.9,1.06,33.02,5.5,38.2,0.09,1.26,74.32,12.54,9.05,17.4,133.75,91.87,7.51,15.1,19.8,38.0,31.46,0.88,33.33,28.4,23.8,-8.88,1.49,0.78,2.3,12.2,45.0,209.63,6.15,3.2,24.0,25.3,52.22,5.52% 4.94,0.0,27.0,21.2,1.29,0.47,NAN,7.64M,113.45,"9,832,698",100.03B,2021-03-03,2021-02-11,103.58118392944336,74.48155014038086,9.52761466530351,52.31960101014606,116.161,116.128,QQQ,AMAT
22,AMD,"Advanced Micro Devices, Inc.",Technology,Semiconductors,38.47,2.04,0.5,-7.09,92100000000.0,31.07,28.21,-16.77,-10.66,1.48,0.44,77.8,6.78,-16.24,9.43,604.7,5.37,1.89,-12.97,4.84,16.22,35.0,102.53,63.21,1.95,40.22,26.06,62.1,-14.38,0.0,118.53,34.8,40.9,-20.87,2.17,0.0,2.0,19.6,44.5,113.66,3.57,2.5,52.5,13.5,34.57,4.90% 3.82,0.0,972.4,25.5,1.37,0.06,NAN,42.60M,78.52,"58,428,217",92.10B,2021-02-22,2021-02-09,89.54380004882813,78.31944997787474,-12.311070160990342,0.25606668864747073,94.752,97.719,"QQQ,PTF",AMD
23,AMGN,Amgen Inc.,Healthcare,Drug Manufacturers - General,18.49,12.31,0.1,1.25,133050000000.0,12.43,8.49,-2.28,-3.94,2.84,4.07,77.5,1.51,0.52,5.23,-4.4,-1.53,3.47,-11.77,16.22,14.04,11.4,254.24,7.36,18.22,12.5,6.51,71.7,-0.95,7.04,21.69,6.3,19.5,-17.69,0.71,3.09,1.5,3.3,75.8,28.62,5.69,1.8,7.1,35.9,43.08,2.16% 1.88,3.51,-3.1,28.6,1.2,3.5,NAN,2.51M,227.73,"3,020,574",133.05B,2021-01-29,2020-12-31,234.35653137207032,233.9529416656494,-2.827542860988109,-2.6599116990556353,98.584,99.159,QQQ,AMGN
24,AMRN,Amarin Corporation plc,Healthcare,Biotechnology,0.0,-0.05,1.0,-11.13,2400000000.0,48.7,230.0,-22.76,-31.93,0.0,-0.06,39.7,5.35,23.76,3.91,28.7,0.29,2.47,18.85,1.61,3.72,-1.9,10.55,-61.23,1.25,4.79,38.9,-3.0,22.49,0.0,0.0,43.6,-3.3,-63.12,2.34,0.0,2.2,49.7,78.6,78.27,0.52,2.9,16.7,-3.2,34.44,9.68% 6.96,0.0,-35.9,-2.9,1.16,0.0,NAN,8.17M,5.99,"9,491,088",2.40B,2021-02-11,2021-01-06,6.654200029373169,5.951800010204315,-9.981666112248464,0.6418224693402244,130.924,120.253,QQQJ,AMRN
25,AMSWA,"American Software, Inc.",Technology,Software - Application,118.64,0.17,0.8,-0.74,654230000.0,70.35,5.56,-20.05,0.55,7.41,0.05,0.0,2.73,22.86,5.84,-3.9,1.38,5.05,41.1,3.66,5.48,4.5,23.0,21.74,2.89,6.95,16.0,6.4,16.77,0.44,79.78,-6.0,5.0,-6.66,0.47,2.19,3.0,2.3,53.7,121.55,0.74,3.0,-1.1,5.5,53.12,4.39% 3.57,0.0,-61.3,6.8,1.14,0.0,NAN,127.01K,20.05,"144,635",654.23M,2021-02-10,2021-02-08,19.197572975158693,16.810390820503233,4.440285373283035,19.27146854637962,109.484,108.632,XSW,AMSWA
26,AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,71.86,41.75,10.6,-2.99,1493450000000.0,45.28,38.97,-1.9,-9.42,1.87,9.4,58.9,0.88,-6.34,3.87,81.9,0.67,1.02,-15.04,186.81,16.06,7.9,4010.49,55.95,169.56,17.7,38.37,27.1,-7.87,0.0,57.61,101.8,13.9,-15.53,1.13,0.0,0.9,29.3,39.6,84.53,86.82,1.1,43.6,5.9,34.98,3.23% 2.41,0.55,117.5,5.5,1.44,0.53,NAN,3.71M,3000.46,"5,353,131",1493.45B,2021-02-11,2021-01-21,3215.026772460937,3093.240489501953,-6.673872028029715,-2.9994592989726376,100.241,99.908,"ARKF,ARKQ,QQQ",AMZN
27,ANSS,"ANSYS, Inc.",Technology,Software - Application,62.03,4.97,0.5,-9.67,26520000000.0,39.43,12.11,-11.94,-16.76,7.75,0.97,96.0,1.22,-8.03,15.78,-5.0,1.19,2.28,-12.14,47.59,6.47,8.7,365.45,24.18,10.61,29.05,8.0,12.0,-15.33,0.0,51.82,12.5,8.9,-25.45,1.21,0.0,2.4,12.3,86.6,53.96,15.41,2.4,28.3,29.5,28.88,5.08% 3.51,0.19,29.1,25.8,2.07,0.19,NAN,454.15K,308.03,"937,926",26.52B,2021-02-22,2021-02-05,366.85759826660166,327.1759997558594,-16.035540368950098,-5.851896156853273,100.648,101.847,"ARKQ,QQQ,XSW",ANSS
28,API,"Agora, Inc.",Technology,Software - Application,0.0,-2.05,0.0,-5.31,5920000000.0,1253.04,225.0,0.0,-36.5,0.0,-0.02,52.7,27.01,54.66,44.29,-56.1,106.39,2.49,1.23,6.61,8.72,0.0,64.53,0.0,6.19,9.31,26.7,0.0,45.7,0.0,0.0,0.0,5.4,-49.86,0.0,0.0,23.4,0.0,64.7,71.55,10.35,23.4,80.1,0.0,38.79,13.88% 13.03,0.0,0.0,0.0,1.02,0.0,NAN,1.90M,57.64,"1,940,154",5.92B,2021-02-22,2021-01-20,62.08849998474121,,-7.164772841725068,,191.001,152.549,ARKW,API
29,APPF,"AppFolio, Inc.",Technology,Software - Application,30.29,4.58,0.3,-15.45,4820000000.0,198.4,-84.55,-58.76,-11.99,1.21,0.07,83.3,5.19,-12.74,15.82,81.7,3.2,4.88,-17.58,8.3,16.71,51.8,133.67,15.12,5.08,27.3,25.0,95.3,-22.97,0.0,120.32,42.3,21.0,-25.68,1.14,0.0,3.6,40.0,62.1,71.19,9.83,3.6,23.9,4.1,35.88,8.47% 5.75,0.0,2665.7,53.6,2.05,0.0,NAN,184.87K,138.68,"379,810",4.82B,2021-02-23,2021-02-03,164.37840057373046,158.13787490844726,-15.633684525482206,-12.304373585209897,96.884,99.315,XSW,APPF
30,APPN,Appian Corporation,Technology,Software - Infrastructure,0.0,-0.49,0.3,-15.65,10080000000.0,0.0,18.6,-93.84,-29.77,0.0,-0.14,81.6,15.66,6.41,33.08,37.4,-2.13,4.46,129.25,4.22,34.36,-7.3,144.25,196.16,3.2,45.33,0.0,-12.3,-10.54,0.0,0.0,-29.4,-13.1,-44.23,1.86,0.0,2.3,22.3,70.9,398.8,20.66,2.3,26.5,-12.4,33.67,12.98% 10.22,0.0,46.2,-11.0,1.74,0.0,NAN,1.31M,145.0,"2,292,778",10.08B,2021-02-09,2021-01-15,183.65320068359372,101.49487487792969,-21.046842929891135,42.86435662332208,120.398,122.155,XSW,APPN
31,APPS,"Digital Turbine, Inc.",Technology,Software - Application,177.03,0.42,2.3,-10.38,5800000000.0,79.06,38.05,-18.21,14.84,3.54,0.19,64.8,2.44,80.27,22.5,387.0,-2.99,0.57,180.62,1.26,58.73,18.9,80.71,936.41,0.56,132.73,50.0,41.4,30.83,0.0,111.97,17.6,24.3,-27.85,2.43,0.0,1.1,37.5,42.2,2026.44,9.84,1.1,146.1,17.9,46.8,15.84% 12.90,0.17,324.5,15.0,2.29,0.15,NAN,3.70M,74.0,"8,476,177",5.80B,2021-03-04,2021-03-03,68.82639976501464,36.552899937629704,7.516883423583005,102.44631787427639,141.54,136.921,"PTF,XSW",APPS
32,AQB,"AquaBounty Technologies, Inc.",Consumer Defensive,Farm Products,0.0,-0.48,0.1,-9.8,443620000.0,0.0,46.2,16.84,-40.4,0.0,-0.08,48.6,5.91,12.39,4436.21,17.3,21.72,0.37,119.76,1.5,4.26,-30.5,9.5,178.04,0.0,0.0,0.0,-36.8,-27.0,0.0,0.0,15.4,-46.4,-51.99,1.18,0.0,17.1,0.0,0.0,302.2,0.9,18.3,0.0,0.0,33.69,14.18% 9.90,0.15,32.9,0.0,2.2,0.14,,4.32M,6.39,"9,495,824",443.62M,2021-01-28,2021-01-14,9.301899976730349,5.3126250016689305,-31.304357002491574,20.279522796971705,86.269,109.759,ARKG,AQB
33,ASML,ASML Holding N.V.,Technology,Semiconductor Equipment & Materials,50.99,10.34,0.4,-7.06,225240000000.0,37.54,18.19,0.0,-2.92,2.98,3.06,18.7,0.26,16.86,13.23,37.9,1.37,1.36,32.26,40.53,13.0,14.2,555.2,82.84,20.95,25.16,17.1,26.9,8.06,2.85,58.46,21.5,18.9,-13.42,1.07,0.54,1.7,17.3,48.6,175.57,20.54,2.4,5.4,29.0,42.44,4.51% 3.00,0.34,20.1,25.4,1.73,0.34,NAN,791.99K,527.04,"1,368,699",225.24B,2021-02-22,2021-02-11,541.3621997070312,422.06782318115233,-2.645585472126053,24.87092620035936,109.901,110.428,QQQ,ASML
34,ATEN,"A10 Networks, Inc.",Technology,Software - Infrastructure,40.98,0.22,1.1,-1.71,692910000.0,0.0,0.0,-4.37,-8.2,1.78,0.11,83.0,4.28,15.76,3.07,38.2,4.0,2.51,7.49,1.56,5.88,1.4,14.75,41.89,2.11,4.36,23.0,3.3,-6.9,0.0,23.73,20.5,-17.0,-22.6,0.91,0.0,2.2,3.4,77.8,167.64,0.53,2.4,7.2,1.8,43.73,4.27% 5.55,0.0,15274.5,1.7,0.73,0.0,NAN,1.09M,9.18,"793,314",692.91M,2021-02-11,2021-02-04,9.80359998703003,8.062849998474121,-6.360928514576688,13.855522572505963,99.621,104.712,XSW,ATEN
35,ATVI,"Activision Blizzard, Inc.",Communication Services,Electronic Gaming & Multimedia,32.75,2.83,0.7,-3.17,71340000000.0,21.73,16.84,-6.96,-0.2,1.84,0.7,90.3,1.35,16.97,8.82,44.9,0.56,1.7,10.94,19.5,4.75,10.4,112.99,50.49,11.43,8.1,17.83,15.7,-0.29,0.47,32.82,18.8,12.3,-11.43,0.66,0.51,0.0,11.6,72.1,83.29,2.87,3.4,21.5,33.4,41.62,3.22% 2.60,0.24,-3.9,27.2,1.37,0.24,NAN,6.07M,92.58,"8,308,300",71.34B,2021-02-22,2021-02-05,94.3652001953125,82.97015014648437,-1.8917992984888263,11.58229777401797,106.997,107.111,"QQQ,PSJ,XSW",ATVI
36,AVAV,"AeroVironment, Inc.",Industrials,Aerospace & Defense,88.14,1.2,8.45,-4.23,2560000000.0,40.7,39.25,0.0,-12.91,6.3,0.0,81.6,4.49,20.54,6.8,-3.1,2.53,3.87,34.46,21.89,4.82,5.0,125.0,75.17,14.27,7.39,14.0,5.6,21.31,0.0,39.22,68.8,8.1,-26.65,0.42,0.0,8.5,7.2,40.5,134.27,7.46,9.5,11.3,12.3,39.06,8.01% 5.79,0.0,-72.2,7.6,1.07,0.0,03/09,256.24K,105.42,"274,037",2.56B,2021-02-17,2021-02-09,113.21739990234373,84.99750013351441,-6.887103845406639,24.027177075097327,120.621,116.897,ARKQ,AVAV
37,AVGO,Broadcom Inc.,Technology,Semiconductors,71.27,6.32,0.2,-4.2,178780000000.0,16.03,7.04,-45.03,-3.24,8.29,6.55,82.5,1.13,11.5,7.48,-2.1,-0.34,2.49,20.03,58.95,7.64,3.4,476.54,64.26,19.18,23.47,8.6,11.1,2.81,14.4,29.48,5.0,7.2,-9.09,1.04,3.2,1.7,28.5,56.7,189.16,16.12,1.9,12.0,16.8,43.69,4.21% 3.04,1.72,49.9,11.1,2.35,1.69,NAN,1.80M,450.14,"4,218,043",178.78B,2021-02-22,2021-02-12,458.3944018554688,371.5243711853028,-1.8007204760915507,21.16028850648039,106.315,107.039,QQQ,AVGO
